3  de  enero  2013,,Boletín Oficial de la Junta de Andalucía ,,Núm. 2  página 105,,,,
,,ESTADO DE INGRESOS,,,,,,
,,Resumen por artículos,,,,,,
,,Clasificación económica,Importes,,,,,
Cap.,Art.,Denominación,Artículo,Capítulo,,,,
3,,"Tasas, precios públicos y otros ingresos",,"55.815.000,00",,,,
,30,Tasas,1.900.000,,,,,
,31,Precios públicos,44.740.000,,,,,
,32,Ingresos por prestación de servicios,8.850.000,,,,,
,33,Venta de bienes,"250,000",,,,,
,39,Ingresos diversos,"75,000",,,,,
4,,Transferencias corrientes,,"278.533.607,35",,,,
,40,De la Administración General del Estado,10.600.000,,,,,
,41,De Organismos autónomos administrativos,"70,000",,,,,
,42,De la Seguridad Social,3.000.000,,,,,
,45,De Comunidades Autónomas,259.498.607,,,,,
,46,De Corporaciones Locales,"90,000",,,,,
,47,De empresas privadas,1.275.000,,,,,
,49,Del exterior,4.000.000,,,,,
5,,Ingresos patrimoniales,,"1.506.000,00",,,,
,52,Intereses de depósitos,"500,000",,,,,
,54,Rentas de bienes inmuebles,"600,000",,,,,
,55,Producto de concesiones y aprov.especiales,"400,000",,,,,
,59,Otros ingresos patrimoniales,"6,000",,,,,
7,,Transferencias de capital,,"58.933.000,00",,,,
,70,De la Administración General del Estado,22.245.000,,,,,
,71,De Organismos autónomos administrativos,"693,000",,,,,
,74,De empresas públicas y otros entes públicos,"400,000",,,,,
,75,De Comunidades Autónomas,30.465.000,,,,,
,76,De Corporaciones Locales,"30,000",,,,,
,77,De empresas privadas,1.400.000,,,,,
,78,De familias e instituciones sin fines de lucro,"200,000",,,,,
,79,Del exterior,3.500.000,,,,,
8,,Activos financieros,,"650.000,00",,,,
,82,Reintegro de préstamos concedidos,"650,000",,,,,
,,Total Operaciones Corrientes,,335.854.607,,,,
,,Total Operaciones de Capital,,59.583.000,,,,
,,Total Operaciones No Financieras,,394.787.607,,,,
,,Total Operaciones Financieras,,"650,000",,,,
,,TOTAL ESTADO DE INGRESOS,,395.437.607,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Núm. 2  página 106,,,Boletín Oficial de la Junta de Andalucía ,,,3  de  enero  2013,,
,,,ESTADO DE INGRESOS,,,,,
,Capítulo 3º,,,Detalle por subconcepto,,,,
,,Clasificación económica,,Importes,,,,
,Cap.  Art.  Concp   Subconc,Denominación,Subconc,Concp,Art.,Cap.,,
3,,"Tasas, precios públicos y otros ingresos",,,,55.815.000,,
30,Tasas,,,,1.900.000,,,
,303,Tasas Académicas,,1.900.000,,,,
,,30300 Por servicios administrativos,1.900.000,,,,,
31,Precios públicos,,,,44.740.000,,,
,312,Servicios académicos enseñanzas regladas,,44.740.000,,,,
,,31200 Enseñanzas de Grado,29.000.000,,,,,
,,31201 Enseñanzas de Posgrado oficial,2.900.000,,,,,
,,31202 Compensación becarios,10.500.000,,,,,
,,31203 Compensación familias numerosas,1.500.000,,,,,
,,31204 Compens.matrícula personal propio,"840,000",,,,,
